Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2011;8;3;ago-11;IPC-total;;75,39;0,598190907
2011;9;3;sep-11;IPC-total;;75,62;0,600015869
2011;10;4;oct-11;IPC-total;;75,77;0,601206062
2011;11;4;nov-11;IPC-total;;75,87;0,601999524
2011;12;4;dic-11;IPC-total;;76,19;0,604538602
2012;1;1;ene-12;IPC-total;;76,75;0,608981988
2012;2;1;feb-12;IPC-total;;77,22;0,612711259
2012;3;1;mar-12;IPC-total;;77,31;0,613425375
2012;4;2;abr-12;IPC-total;;77,42;0,614298183
2012;5;2;may-12;IPC-total;;77,66;0,616202491
2012;6;2;jun-12;IPC-total;;77,72;0,616678569
2012;7;3;jul-12;IPC-total;;77,70;0,616519876
2012;8;3;ago-12;IPC-total;;77,73;0,616757915
2012;9;3;sep-12;IPC-total;;77,96;0,618582877
2012;10;4;oct-12;IPC-total;;78,08;0,619535031
2012;11;4;nov-12;IPC-total;;77,98;0,618741569
2012;12;4;dic-12;IPC-total;;78,05;0,619296993
2013;1;1;ene-13;IPC-total;;78,28;0,621121955
2013;2;1;feb-13;IPC-total;;78,63;0,623899072
2013;3;1;mar-13;IPC-total;;78,79;0,625168611
2013;4;2;abr-13;IPC-total;;78,99;0,626755534
2013;5;2;may-13;IPC-total;;79,21;0,628501151
2013;6;2;jun-13;IPC-total;;79,39;0,629929382
2013;7;3;jul-13;IPC-total;;79,43;0,630246767
2013;8;3;ago-13;IPC-total;;79,50;0,63080219
2013;9;3;sep-13;IPC-total;;79,73;0,632627152
2013;10;4;oct-13;IPC-total;;79,52;0,630960882
2013;11;4;nov-13;IPC-total;;79,35;0,629611997
2013;12;4;dic-13;IPC-total;;79,56;0,631278267
2014;1;1;ene-14;IPC-total;;79,95;0,634372768
2014;2;1;feb-14;IPC-total;;80,45;0,638340078
2014;3;1;mar-14;IPC-total;;80,77;0,640879156
2014;4;2;abr-14;IPC-total;;81,14;0,643814965
2014;5;2;may-14;IPC-total;;81,53;0,646909466
2014;6;2;jun-14;IPC-total;;81,61;0,647544235
2014;7;3;jul-14;IPC-total;;81,73;0,64849639
2014;8;3;ago-14;IPC-total;;81,90;0,649845275
2014;9;3;sep-14;IPC-total;;82,01;0,650718083
2014;10;4;oct-14;IPC-total;;82,14;0,651749583
2014;11;4;nov-14;IPC-total;;82,25;0,652622391
2014;12;4;dic-14;IPC-total;;82,47;0,654368008
2015;1;1;ene-15;IPC-total;;83,00;0,658573356
2015;2;1;feb-15;IPC-total;;83,96;0,66619059
2015;3;1;mar-15;IPC-total;;84,45;0,670078553
2015;4;2;abr-15;IPC-total;;84,90;0,673649131
2015;5;2;may-15;IPC-total;;85,12;0,675394747
2015;6;2;jun-15;IPC-total;;85,21;0,676108863
2015;7;3;jul-15;IPC-total;;85,37;0,677378402
2015;8;3;ago-15;IPC-total;;85,78;0,680631596
2015;9;3;sep-15;IPC-total;;86,39;0,685471713
2015;10;4;oct-15;IPC-total;;86,98;0,690153138
2015;11;4;nov-15;IPC-total;;87,51;0,694358486
2015;12;4;dic-15;IPC-total;;88,05;0,69864318
2016;1;1;ene-16;IPC-total;;89,19;0,707688646
2016;2;1;feb-16;IPC-total;;90,33;0,716734111
2016;3;1;mar-16;IPC-total;;91,18;0,723478537
2016;4;2;abr-16;IPC-total;;91,63;0,727049115
2016;5;2;may-16;IPC-total;;92,10;0,730778386
2016;6;2;jun-16;IPC-total;;92,54;0,734269618
2016;7;3;jul-16;IPC-total;;93,02;0,738078235
2016;8;3;ago-16;IPC-total;;92,73;0,735777196
2016;9;3;sep-16;IPC-total;;92,68;0,735380465
2016;10;4;oct-16;IPC-total;;92,62;0,734904388
2016;11;4;nov-16;IPC-total;;92,73;0,735777196
2016;12;4;dic-16;IPC-total;;93,11;0,738792351
2017;1;1;ene-17;IPC-total;;94,07;0,746409585
2017;2;1;feb-17;IPC-total;;95,01;0,753868127
2017;3;1;mar-17;IPC-total;;95,46;0,757438705
