Country;Variable;2018A;2019A;2020A;2021A;2022E;2023E;2024E;2025E;2026E;2027E
Chile;Internet fijo (Fibra Óptica);703,401;957,182;1233;2427,692;2906,301775;3229,715685;3500,96633;3708,098115;3860,050905;3964,152747
Colombia;Internet fijo (Fibra Óptica);870;960;1322,869;1651,511229;1955,366842;2287,792731;2637,97939;2987,746478;3348,657176;3718,200557
Costa Rica;Internet fijo (Fibra Óptica);205,1491628;285,2092984;361,0317527;425,2855387;471,0482088;508,7724564;546,8699843;578,3425672;597,1385145;611,6396045
Dominican Republic;Internet fijo (Fibra Óptica);200,114;248,833;315,107;400,53895;458,9376538;511,710375;557,9832666;603,9325537;648,822094;692,0507349
Ecuador;Internet fijo (Fibra Óptica);512,6430208;657,6701055;818,8290743;1030,342138;1221,107198;1407,376719;1586,226213;1761,718484;1925,978073;2084,579235
El Salvador;Internet fijo (Fibra Óptica);9,211;4,022;8,51;10,54776104;12,83494178;15,41804649;18,25679172;21,31591375;24,77863647;28,81607199
Guatemala;Internet fijo (Fibra Óptica);14,71015269;17,04313878;19,27715256;22,03473092;25,23952542;28,97085332;33,35783489;38,52890474;44,50158428;51,40013754
Honduras;Internet fijo (Fibra Óptica);8,613205407;10,58936309;14,21496861;21,02438317;28,9473481;39,24673725;51,78660385;67,37526399;85,7062496;109,1560132
Mexico;Internet fijo (Fibra Óptica);3720,312;4747,227;6611,562;8708,486126;10430,54787;12008,16028;13487,48557;14905,67979;16323,07138;17753,55758
Nicaragua;Internet fijo (Fibra Óptica);4,444470434;6,497799037;16,65200989;22,41748564;28,14528346;34,92490199;43,05097347;52,74867694;64,65326297;79,33015
Panama;Internet fijo (Fibra Óptica);7,625787968;10,05586876;13,95623988;18,2104424;23,04576403;29,28173817;36,97974709;46,21061051;55,98173965;64,82271156
Paraguay;Internet fijo (Fibra Óptica);35,3745155;42,61980115;48,2265751;53,06947543;57,38872039;60,82276801;64,04869005;67,21365544;70,28435489;73,45833418
Peru;Internet fijo (Fibra Óptica);30,714;170,393;445,3606892;721,045072;995,5533018;1273,721162;1556,656855;1844,192058;2124,18867;2394,453998
Uruguay;Internet fijo (Fibra Óptica);700,149;776,4968344;834;894,157;939,5446602;976,3576362;1008,910426;1040,861073;1070,497226;1096,219585
Argentina;Internet móvil;30885,38277;33633,35872;36206,62906;40341,5601;42291,94496;44250,58935;46181,55728;47905,11271;49492,58909;50931,41747
Bolivia;Internet móvil;7070,092328;7638,553509;7878,033672;8199,898054;8529,386208;8913,256412;9321,115122;9733,955557;10201,89678;10709,06885
Brazil;Internet móvil;117729,1507;125071,7886;128867,2568;144917,6673;149000,7171;153400,5731;157277,8314;160872,0351;164308,503;167791,4583
Chile;Internet móvil;11266,40129;13261,73897;15102,20941;17513,68768;18971,12627;19969,74932;20636,0212;21082,23868;21482,32951;21883,67522
Colombia;Internet móvil;26469,64524;30285,3136;33947,61377;41712,06721;45975,36544;49092,57869;52069,15341;54948,40296;57473,95839;59267,90859
Costa Rica;Internet móvil;5089,506;4666,073;4641,694;4754,286284;4864,005249;4966,808466;5061,328664;5144,52398;5216,818363;5272,419454
Dominican Republic;Internet móvil;3234,125974;3564,025112;3630,106848;4424,090681;4882,619695;5340,822852;5817,355644;6325,576618;6869,841625;7451,439688
Ecuador;Internet móvil;9081,303721;9707,86443;10117,31266;11660,02904;12112,55463;12451,55505;12727,73797;12958,64698;13188,64822;13420,69742
El Salvador;Internet móvil;3139,964952;3781,366329;4629,666655;5348,340079;5993,139287;6429,150279;6833,004172;7160,748235;7542,387782;7942,106227
Guatemala;Internet móvil;7566,102925;9416,630213;9552,827139;11362,47187;12464,13221;13620,27719;14827,58539;16262,90453;17824,69887;18965,71189
Honduras;Internet móvil;3272,604499;3457,946939;3866,03622;4523,127333;4947,447177;5375,774912;5930,447785;6536,128384;7183,78666;7893,922665
Mexico;Internet móvil;79427,81989;84686,39778;85457,35609;94895,80455;106193,5521;116398,2649;125826,8087;134174,3603;139884,9568;142345,2525
Nicaragua;Internet móvil;2130,844286;1278,377198;1262,976379;1348,928899;1549,722359;1818,058673;2104,054004;2301,670315;2578,737828;2718,129076
Panama;Internet móvil;2863,957023;2958,779251;2925,250819;3208,686068;3469,977881;3696,160249;3785,604764;3848,870871;3906,792204;3962,719414
Paraguay;Internet móvil;2757,953611;3424,692433;3697,109157;4199,482959;4496,656361;4733,296263;4955,890908;5176,534546;5405,68576;5643,674593
Peru;Internet móvil;23989,51917;24757,90392;24523,9364;28192,7246;30375,22487;32417,94084;34313,65338;35966,49637;37551,21905;39207,08611
Uruguay;Internet móvil;4362,741973;4337,835357;4372,792647;4600,502266;4730,722947;4836,563553;4931,316525;5006,383065;5064,419171;5123,459956
Argentina;Suscripciones móviles (voz y/ datos);58967,2;58204,4;57023,4;61433,466;63188,48061;65096,01362;67145,07173;69347,13998;71689,33561;74158,51424
Bolivia;Suscripciones móviles (voz y/ datos);11445,8;11688,83;11804,343;12087;12315,57313;12603,73621;12931,22918;13295,34538;13697,75056;14149,36976
Brazil;Suscripciones móviles (voz y/ datos);229122,719;226344,249;232615,334;254089,812;266883,3339;279130,9714;291084,5425;302835,9116;314269,5983;325523,0237
Chile;Suscripciones móviles (voz y/ datos);28780,571;28899,551;29098,04558;30867,96258;31495,99641;32070,80014;32652,49259;33258,63893;33848,14088;34499,02507
Colombia;Suscripciones móviles (voz y/ datos);60327,51523;63311,18148;64946,504;71915,52;76861,73;79549,38983;82265,11569;85028,79601;87076,66586;89206,51957
Costa Rica;Suscripciones móviles (voz y/ datos);8496;8550,243;7512,37;7834;7913,446537;8034,159172;8123,840861;8193,121428;8257,105705;8318,215486
Dominican Republic;Suscripciones móviles (voz y/ datos);6893,866;7192,256;7297,565;8374,648;8716,68611;8989,511652;9231,60943;9458,728712;9674,197198;9876,883532
Ecuador;Suscripciones móviles (voz y/ datos);15775,98217;15853,046;15485,366;16789,885;17121,09308;17456,17989;17801,56745;18175,62152;18579,70879;19027,23294
El Salvador;Suscripciones móviles (voz y/ datos);9436,214;9564,942542;9948,763;10113,38349;10367,91801;10610,37455;10852,80197;11073,22067;11266,7104;11462,87286
Guatemala;Suscripciones móviles (voz y/ datos);20445,54;20834,209;20409,307;22126,765;22579,16428;22944,63483;23348,29526;23800,65626;24263,14634;24737,42842
Honduras;Suscripciones móviles (voz y/ datos);6704,107734;6675,069722;6960,654;7591,921238;7862,366093;8064,092243;8245,349618;8412,432684;8573,689123;8736,6225
Mexico;Suscripciones móviles (voz y/ datos);121566,786;124085,195;125374,4624;130023,9272;135923,5878;141123,8973;145696,5854;150265,7206;155151,6196;160565,3925
Nicaragua;Suscripciones móviles (voz y/ datos);6600,674953;3624,214463;3414,32779;3586,29401;3798,076856;3997,140845;4187,84034;4368,460427;4537,805207;4702,686336
Panama;Suscripciones móviles (voz y/ datos);5114,203718;5036,074115;5214,9;5575,723773;5712,594402;5854,730249;6004,10995;6154,520759;6306,563817;6467,048614
Paraguay;Suscripciones móviles (voz y/ datos);7380,123518;7748,443022;7991,804033;8131,4;8386,658556;8664,987797;8968,227124;9319,489662;9755,971005;10311,73335
Peru;Suscripciones móviles (voz y/ datos);40041,754;38497,95;37933,16454;42424,39256;44601,19956;46673,24616;48366,13083;49627,43087;50710,00422;51797,68718
Uruguay;Suscripciones móviles (voz y/ datos);5436,57;5367;5401;5834,859;6381,303181;7004,55057;7694,902693;8441,338969;9244,971098;10106,23739
